id,nome,categoria,quantidade,data_validade
1,Paracetamol,Analgésico,50,2025-06-09
2,Amoxicilina,Antibiótico,15,2025-03-11
3,Ibuprofeno,Anti-inflamatório,5,2025-01-10
4,Losartana,Antihipertensivo,0,2025-12-06
5,Omeprazol,Inibidor de bomba de prótons,20,2025-01-25
6,Cloridrato de Sertralina,Inibidor de receptação de serotonina,10,2025-02-15
7,Cloridrato de Fluoxetina,Inibidor de receptação de serotonina,10,2025-02-15
8,Cloridrato de Bupropiona,Inibidor de receptação de serotonina,10,2025-02-15
9,Cloridrato de Venlafaxina,Inibidor de receptação de serotonina,10,2025-02-15
10,Cloridrato de Duloxetina,Inibidor de receptação de serotonina,10,2025-02-15
11,Cloridrato de Escitalopram,Inibidor de receptação de serotonina,10,2025-02-15
12,Cloridrato de Paroxetina,Inibidor de receptação de serotonina,10,2025-02-15
13,Cloridrato de Citalopram,Inibidor de receptação de serotonina,10,2025-02-15